Rank,Player,TD%,Start Year,End Year,Tm
132,Scott Mitchell,4.00%,1991,2001,4TM
,Elvis Grbac,4.00%,1994,2001,3TM
,Jeff Hostetler,4.00%,1985,1997,3TM
,Jay Fiedler,4.00%,1995,2005,5TM
,Erik Kramer,4.00%,1987,1999,4TM
,Doug Flutie,4.00%,1986,2005,4TM
,Doug Williams,4.00%,1978,1989,2TM
,Matt Hasselbeck,4.00%,1999,2015,4TM
,Mark Brunell,4.00%,1994,2011,5TM
,Josh Freeman,4.00%,2009,2015,3TM
,Frank Tripucka,4.00%,1949,1963,4TM
143,Nick Foles,3.90%,2012,2022,6TM
,Blake Bortles,3.90%,2014,2019,2TM
,David Garrard,3.90%,2002,2010,jax
,Steve DeBerg,3.90%,1978,1998,6TM
,Tony Eason,3.90%,1983,1990,2TM
,Jim McMahon,3.90%,1982,1996,6TM
,Jeff George,3.90%,1990,2001,5TM
,Matt Cassel,3.90%,2005,2018,7TM
,Tyrod Taylor,3.90%,2011,2022,6TM
,Mitchell Trubisky,3.90%,2017,2022,3TM
153,Marc Bulger,3.80%,2002,2009,ram
,Brad Johnson,3.80%,1994,2008,4TM
,Alex Smith,3.80%,2005,2020,3TM
,Steve McNair,3.80%,1995,2007,2TM
,Jon Kitna,3.80%,1997,2011,4TM
,Charlie Batch,3.80%,1998,2012,2TM
,Mike Tomczak,3.80%,1985,1999,4TM
160,Drew Bledsoe,3.70%,1993,2006,3TM
,Tim Couch,3.70%,1999,2003,cle
,Kyle Orton,3.70%,2005,2014,5TM
,Josh McCown,3.70%,2002,2019,9TM
,Neil O'Donnell,3.70%,1991,2003,4TM
,Jack Kemp,3.70%,1957,1969,3TM
,Mark Sanchez,3.70%,2009,2018,4TM
,Jake Plummer,3.70%,1997,2006,2TM
,Bernie Kosar,3.70%,1985,1996,3TM
,Joe Flacco,3.70%,2008,2022,3TM
,Gus Frerotte,3.70%,1994,2008,7TM
,Bubby Brister,3.70%,1986,2000,5TM
172,Steve Bono,3.60%,1985,1999,7TM
,Mark Malone,3.60%,1980,1989,3TM
,Teddy Bridgewater,3.60%,2014,2022,5TM
,Byron Leftwich,3.60%,2003,2012,4TM
,Rex Grossman,3.60%,2003,2011,3TM
,Derek Anderson,3.60%,2006,2018,4TM
,Case Keenum,3.60%,2013,2022,7TM
,Trent Dilfer,3.60%,1994,2007,5TM
,Eric Hipple,3.60%,1980,1989,det
,Ken O'Brien,3.60%,1984,1993,2TM
182,Stan Humphries,3.50%,1989,1997,2TM
,Jim Zorn,3.50%,1976,1987,3TM
,Troy Aikman,3.50%,1989,2000,dal
,Brian Hoyer,3.50%,2009,2022,7TM
,Sam Bradford,3.50%,2010,2018,4TM
,Don Majkowski,3.50%,1987,1996,3TM
,Billy Joe Tolliver,3.50%,1989,1999,5TM
,Sam Darnold,3.50%,2018,2022,2TM
,Jason Campbell,3.50%,2006,2014,5TM
191,Daniel Jones,3.40%,2019,2022,nyg
,Archie Manning,3.40%,1971,1984,3TM
,Dan Pastorini,3.40%,1971,1983,4TM
194,Blaine Gabbert,3.30%,2011,2022,5TM
,Kerry Collins,3.30%,1995,2011,6TM
,Jim Harbaugh,3.30%,1987,2000,4TM
,Tony Banks,3.30%,1996,2005,4TM
,Kordell Stewart,3.30%,1995,2005,3TM
199,Mike Pagel,3.20%,1982,1993,3TM
,Rodney Peete,3.20%,1989,2004,6TM
,Mike Livingston,3.20%,1968,1979,kan
,Kyle Boller,3.20%,2003,2011,3TM
203,Joey Harrington,3.10%,2002,2007,3TM
,Mike Phipps,3.10%,1970,1981,2TM
205,Jacoby Brissett,3.00%,2016,2022,4TM
,Chad Henne,3.00%,2008,2022,3TM
207,David Carr,2.90%,2002,2012,4TM
208,Dave Brown,2.70%,1992,2001,2TM
209,Jack Trudeau,2.60%,1986,1995,3TM
210,Rick Mirer,2.40%,1993,2003,5TM
