Rank,Player,Rate,Start Year,End Year,Tm
135,David Carr,74.9,2002,2012,4TM
,Chris Miller,74.9,1987,1999,3TM
137,Don Meredith,74.8,1960,1968,dal
,Brian Sipe,74.8,1974,1983,cle
139,Jake Plummer,74.6,1997,2006,2TM
140,Roman Gabriel,74.3,1962,1977,2TM
,Y.A. Tittle,74.3,1948,1964,3TM
142,Steve DeBerg,74.2,1978,1998,6TM
,Gus Frerotte,74.2,1994,2008,7TM
144,Earl Morrall,74.1,1956,1976,6TM
145,Kerry Collins,73.8,1995,2011,6TM
146,Frankie Albert,73.5,1946,1952,sfo
,Craig Morton,73.5,1965,1982,3TM
148,Rodney Peete,73.3,1989,2004,6TM
149,Mark Sanchez,73.2,2009,2018,4TM
150,Daryle Lamonica,72.9,1963,1974,2TM
,Greg Landry,72.9,1968,1984,3TM
,Don Majkowski,72.9,1987,1996,3TM
153,Ron Jaworski,72.8,1974,1989,4TM
,Tommy Kramer,72.8,1977,1990,2TM
155,Blaine Gabbert,72.6,2011,2022,5TM
156,Tony Banks,72.4,1996,2005,4TM
157,Bubby Brister,72.3,1986,2000,5TM
,John Brodie,72.3,1957,1973,sfo
159,Sammy Baugh,72.2,1937,1952,was
,Milt Plum,72.2,1957,1969,4TM
,Billy Wade,72.2,1954,1966,2TM
162,Jay Schroeder,71.7,1985,1994,4TM
163,Billy Kilmer,71.6,1961,1978,3TM
164,Bill Munson,71.5,1964,1979,5TM
165,Rex Grossman,71.4,2003,2011,3TM
166,Terry Bradshaw,70.9,1970,1983,pit
,Lynn Dickey,70.9,1971,1985,2TM
168,Kordell Stewart,70.7,1995,2005,3TM
169,Derek Anderson,70.4,2006,2018,4TM
170,Trent Dilfer,70.2,1994,2007,5TM
,Bill Nelsen,70.2,1963,1972,2TM
172,Vince Ferragamo,70.1,1977,1986,3TM
173,Steve Grogan,69.6,1975,1990,nwe
174,Kyle Boller,69.5,2003,2011,3TM
175,Joey Harrington,69.4,2002,2007,3TM
,Doug Williams,69.4,1978,1989,2TM
177,Charley Johnson,69.2,1961,1975,3TM
178,Mike Tomczak,68.9,1985,1999,4TM
179,Eric Hipple,68.7,1980,1989,det
180,Joe Ferguson,68.4,1973,1990,4TM
181,Charlie Conerly,68.2,1948,1961,nyg
182,Dave Brown,67.9,1992,2001,2TM
183,Billy Joe Tolliver,67.7,1989,1999,5TM
,Marc Wilson,67.7,1980,1990,2TM
185,Tom Flores,67.6,1960,1969,3TM
,Richard Todd,67.6,1976,1985,2TM
187,Jim Plunkett,67.5,1971,1986,3TM
188,John Hadl,67.4,1962,1977,4TM
189,Jim Zorn,67.3,1976,1987,3TM
190,Archie Manning,67.1,1971,1984,3TM
191,Jim Hart,66.6,1966,1984,2TM
192,Joe Namath,65.5,1965,1977,2TM
,Norm Snead,65.5,1961,1976,5TM
194,Rick Mirer,63.5,1993,2003,5TM
195,Bobby Layne,63.4,1948,1962,4TM
196,Mike Livingston,63.3,1968,1979,kan
,Mike Pagel,63.3,1982,1993,3TM
,Jack Trudeau,63.3,1986,1995,3TM
199,Ed Brown,62.8,1954,1965,3TM
200,Mark Malone,61.9,1980,1989,3TM
201,Bob Waterfield,61.6,1945,1952,ram
202,Eddie LeBaron,61.4,1952,1963,2TM
203,George Blanda,60.6,1949,1975,4TM
204,Babe Parilli,59.6,1952,1969,5TM
205,Dan Pastorini,59.1,1971,1983,4TM
206,Jack Kemp,57.3,1957,1969,3TM
207,Tobin Rote,56.8,1950,1966,4TM
208,Cotton Davidson,54.9,1954,1968,3TM
209,Mike Phipps,52.6,1970,1981,2TM
210,Frank Tripucka,52.2,1949,1963,4TM
